E35Title_id	permalink	type	label_it	label_en	value
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1967/rdq227/title	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1967/rdq227/title	https://w3id.org/ficlitdl/title-type/proper	"Titolo, ""Le ultime farfalle : (quattro o cinque giovani scrittori). 7.2.1967 ; Veneziani e trovatori. 14.2.1967"""	"Title, ""Le ultime farfalle : (quattro o cinque giovani scrittori). 7.2.1967 ; Veneziani e trovatori. 14.2.1967"""	Le ultime farfalle : (quattro o cinque giovani scrittori). 7.2.1967 ; Veneziani e trovatori. 14.2.1967
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1975/rdq308/title	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1975/rdq308/title	https://w3id.org/ficlitdl/title-type/attributed	"Titolo, ""[Giuseppe il falegname ; Troppe le fotografie di giornale]"""	"Title, ""[Giuseppe il falegname ; Troppe le fotografie di giornale]"""	[Giuseppe il falegname ; Troppe le fotografie di giornale]
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1972/rdq273/title	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1972/rdq273/title	https://w3id.org/ficlitdl/title-type/proper	"Titolo, ""I fiammiferi svedesi : racconto. 18.8.1972"""	"Title, ""I fiammiferi svedesi : racconto. 18.8.1972"""	I fiammiferi svedesi : racconto. 18.8.1972
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1973/rdq287/title	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1973/rdq287/title	https://w3id.org/ficlitdl/title-type/proper	"Titolo, ""Un angelo nella citta. 10 settembre 1973"""	"Title, ""Un angelo nella citta. 10 settembre 1973"""	Un angelo nella citta. 10 settembre 1973
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1976/rdq306/title	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1976/rdq306/title	https://w3id.org/ficlitdl/title-type/proper	"Titolo, ""Una lettera di Ungaretti. 29.11.1976"""	"Title, ""Una lettera di Ungaretti. 29.11.1976"""	Una lettera di Ungaretti. 29.11.1976
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1968/rdq245/title	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1968/rdq245/title	https://w3id.org/ficlitdl/title-type/proper	"Titolo, ""L'ospizio"""	"Title, ""L'ospizio"""	L'ospizio
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1962/rdq157/title	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1962/rdq157/title	https://w3id.org/ficlitdl/title-type/proper	"Titolo, ""Un momento della nostra vita. 2.3.1962 ; I grandi romantici inglesi. 13.3.962"""	"Title, ""Un momento della nostra vita. 2.3.1962 ; I grandi romantici inglesi. 13.3.962"""	Un momento della nostra vita. 2.3.1962 ; I grandi romantici inglesi. 13.3.962
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1963/rdq171/title	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1963/rdq171/title	https://w3id.org/ficlitdl/title-type/proper	"Titolo, ""L'opera di Cardarelli. 7.1.963 ; Cezanne a Basilea. 12.1.1963 ; Una traduzione di Pascal. 22.1.1963"""	"Title, ""L'opera di Cardarelli. 7.1.963 ; Cezanne a Basilea. 12.1.1963 ; Una traduzione di Pascal. 22.1.1963"""	L'opera di Cardarelli. 7.1.963 ; Cezanne a Basilea. 12.1.1963 ; Una traduzione di Pascal. 22.1.1963
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1962/rdq170/title	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1962/rdq170/title	https://w3id.org/ficlitdl/title-type/proper	"Titolo, ""Il Vitale da Bologna di Gnudi. 23.12.962 ; Marc Chagall. (2.1.1963)"""	"Title, ""Il Vitale da Bologna di Gnudi. 23.12.962 ; Marc Chagall. (2.1.1963)"""	Il Vitale da Bologna di Gnudi. 23.12.962 ; Marc Chagall. (2.1.1963)
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1964/rdq200/title	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1964/rdq200/title	https://w3id.org/ficlitdl/title-type/proper	"Titolo, ""Una sera d'ottobre"""	"Title, ""Una sera d'ottobre"""	Una sera d'ottobre
